name	1_2_1	1_2_2	1_2_3	1_2_4	1_2_5	1_2_6	1_2_7	1_2_8	1_2_9	1_2_10	2_2_1	2_2_2	2_2_3	2_2_4	2_2_5	2_2_6	7_2_1	7_2_2	7_2_3	7_2_4	7_2_5	7_2_6	7_2_7	7_2_8	7_2_9	7_2_10	7_2_11	9_2_1	10_2_1	10_2_2	10_2_3	16_2_1	16_2_2	16_2_3	16_2_4	16_2_5	16_2_6	16_2_7	16_2_8	16_2_9	16_2_10	17_2_1	22_2_1	22_2_2	22_2_3
1_2_1	0.858588139650422	0.204733300212276	0.126688044803758	0.12835915270313	0.222257350616503	0.231696851994038	0.205650550767387	0.207894855697575	0.273384219321621	0.151438507745811	0.180118332505307	0.155593694955061	0.189061018020866	0.278397543019737	0.210830585791066	0.177589088117068	0.203604173253241	0.188525666272811	0.158303599656745	0.161583339487482	0.159588441330998	0.313490808906553	0.141706161137441	0.164778578784758	0.168736732758231	0.259834695813197	0.256763470484621	0.243168781897837	0.180232558139535	0.172766683249236	0.194119506797344	0.142947473013866	0.186847929181157	0.188338376767084	0.149767399846439	0.171127427759356	0.195745449618355	0.16536560910979	0.280746127094531	0.153204250603038	0.350481008084549	0.359243033286663	0.251524321394698	0.229935413937943	0.170480962959136
1_2_2	0	0.0826469051545382	0.492591254065775	0.567387286024271	0.189214046822742	0.136204749085942	0.152924367424068	0.855390876287818	0.533028148317469	0.599308839578028	0.158288928359976	0.152192207355045	0.145272120699099	0.0855735791140791	0.17112155809268	0.180186212613991	0.15324910769928	0.152094000262571	0.131020255063766	0.120892105457499	0.119673088149445	0.126701051080402	0.0654028436018957	0.136776028640086	0.148544592993738	0.143867647404413	0.137832282500751	0.182539073491418	0.197898032200358	0.604363584677706	0.409225456904992	0.172161880097406	0.141478848482481	0.130725754295194	0.13567225975158	0.144777356702984	0.147678630227198	0.147461147317912	0.115096265052044	0.133450681269965	0.159550671869643	0.135626046901173	0.148109372000907	0.162898580276808	0.20462881644883
1_2_3	0	0	0.168675149234201	0.403921883790083	0.120359531772575	0.0781469725581582	0.0895054615845509	0.497700734020413	0.885522724723652	0.407708863829271	0.0912078152753108	0.093116216443659	0.0833291838868695	0.130441284598033	0.102451309603761	0.1145016261718	0.0875021245255226	0.0882893527635552	0.0758439609902476	0.0652093641533122	0.0644337419731465	0.0725380809888276	0.0431279620853081	0.0792996910401648	0.086097478422745	0.0805348624068808	0.078338991662625	0.103906070140434	0.110986881335719	0.417738611328264	0.510038258788929	0.10134900081172	0.0747236436076716	0.0734752411213902	0.0791022009152321	0.085978209379441	0.0820875864339809	0.08873451264055	0.0610517722294034	0.080709303083643	0.185349500891043	0.0755600921273032	0.0835121883124815	0.0947161828052915	0.111380895799969
1_2_4	0	0	0	0.521136381901471	0.128720735785953	0.0724101904685365	0.0938378577683551	0.793819818371775	0.662099172225348	0.513180101261754	0.0991320421120309	0.0833543717916351	0.108896568351684	0.178413565860323	0.108092903640601	0.110061882182753	0.106244474805111	0.0880267821977156	0.0754641163706502	0.0619599734140758	0.0612230005837712	0.14449891505264	0.0322274881516588	0.0741013192094551	0.0824166525638856	0.124326930804468	0.110825363658282	0.13368962468858	0.110390578413834	0.472816430957288	0.562967130113317	0.0839427790725709	0.0783573093305473	0.0955557341477136	0.0796687731531924	0.0891165324490763	0.0927027244233706	0.0903101052782353	0.146025878003697	0.0814916226611904	0.250984489271076	0.170015269629511	0.149481636261352	0.128546170537652	0.10404504830294
1_2_5	0	0	0	0	0.843185618729097	0.201755852842809	0.973083836475089	0.231981605351171	0.276588628762542	0.149038461538462	0.176630434782609	0.141210132121518	0.185409698996656	0.26183110367893	0.186538461538462	0.172282608695652	0.20752508361204	0.179926480241565	0.237918060200669	0.145410235580829	0.143607705779334	0.341847826086957	0.0909952606635071	0.177823549605218	0.171644948383821	0.233403010033445	0.272491638795987	0.214715719063545	0.184704830053667	0.176106886504157	0.182023411371237	0.136872909698997	0.152926421404682	0.183779264214047	0.170058836347788	0.162482235907153	0.179556856187291	0.161569863209912	0.242516722408027	0.149618619205946	0.324749163879599	0.31693143812709	0.257775919732441	0.214464882943144	0.177093557886036
1_2_6	0	0	0	0	0	0.855478323757483	0.213439646034014	0.148740407408895	0.227289163887661	0.0948611836554301	0.18486078187151	0.151813515105613	0.19241431957893	0.279038932861907	0.201253565832295	0.181525975330467	0.219574912611997	0.19515557306026	0.235043593555386	0.162543386751348	0.160391126678342	0.358351078789827	0.124170616113744	0.192388798979942	0.174902690810628	0.276869299690626	0.263369359958214	0.233798063401503	0.19469290399523	0.104043777983086	0.144039535537788	0.141829723974447	0.179476877335369	0.185021495439752	0.179908476792329	0.176989578398863	0.183896500462051	0.173744897228389	0.268753264494355	0.171914727166047	0.341837759652859	0.343203824982924	0.254449756920728	0.210534774398329	0.187064111174252
1_2_7	0	0	0	0	0	0	0.853528137530534	0.169608701663824	0.240678434806655	0.109231691017191	0.18177628243536	0.144674378946398	0.190533253445177	0.268792920680278	0.194911738950085	0.176429921187261	0.216758077153524	0.171064723644479	0.254182605890215	0.142013145262536	0.140251021599533	0.357284417200535	0.0876777251184834	0.173115590211368	0.177443886251556	0.239434023136839	0.287044291837581	0.217495506291192	0.172480620155039	0.115343614526331	0.148453703276951	0.142001198322349	0.159469051020878	0.188551412637692	0.171682721113518	0.15525817148271	0.184772088307139	0.154909403423333	0.246670046550214	0.144663928548145	0.328755127436973	0.328478591510347	0.264783149744204	0.219661704383094	0.166451412925557
1_2_8	0	0	0	0	0	0	0	0.0853264100708267	0.51571304864809	0.628349702922275	0.168294849023091	0.16670874358327	0.155330378927451	0.0778899343431732	0.186736064472801	0.195044958867419	0.164466602458784	0.171786792700538	0.144673668417104	0.125618491987298	0.124562171628722	0.134339804219359	0.0853080568720379	0.151733607964298	0.161660179387375	0.152351185580335	0.146100371833068	0.195047706750569	0.207811568276685	0.622983441120034	0.43785381333101	0.177186811487766	0.150306628647318	0.144925906138402	0.152930921769449	0.168818095689247	0.158116562397102	0.166010169734298	0.123763521327981	0.146945693982659	0.152159372899757	0.147011097152429	0.159050061944895	0.177656564626717	0.215580926796508
1_2_9	0	0	0	0	0	0	0	0	0.0106436471743581	0.649781738814114	0.260094730609828	0.259740806193722	0.245954289697754	0.148228026216521	0.275016789791807	0.296919839295963	0.24882442921081	0.23756071944335	0.220780195048762	0.185953770031755	0.183960887332166	0.225298106852322	0.0976303317535545	0.229807267912314	0.24623455745473	0.232792047564214	0.229936026236172	0.302509400659965	0.302921884317233	0.649349726387606	0.507569799674876	0.279347531985621	0.228233272137807	0.220988105615387	0.227544127260841	0.239519185220275	0.242838327296674	0.234978156556614	0.206449418327777	0.216246169893735	0.0560147134131313	0.240132956448911	0.257638416304594	0.274743200876813	0.322828950767164
1_2_10	0	0	0	0	0	0	0	0	0	0.325769976961319	0.114742451154529	0.113018597997139	0.10528805457352	0.165060021826119	0.125218267293486	0.1273196862445	0.107925896549771	0.10988578180386	0.0938484621155289	0.0821948157447751	0.0812171628721541	0.0876985570510489	0.0492890995260664	0.0992104359766564	0.113005584701303	0.101120955044298	0.0944594563384836	0.13063719847543	0.135658914728682	0.519437140217469	0.580468655268582	0.122994859108654	0.0925745088082497	0.0920057362989624	0.0962301154935716	0.109663666508764	0.104576885083964	0.108501038458784	0.0871680611131321	0.101245191994263	0.239678064750818	0.108963865648114	0.105777452058141	0.121759743073433	0.149971586506173
